Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Data Scientist (TS/SCI),$99K-$132K,3.5,Maxar Technologies,"Herndon, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Data Engineer,$99K-$132K,5.0,Phantom AI,"Burlingame, CA",1 - 50 ,Company - Private,Computer Hardware & Software,Unknown 
Data Scientist,$99K-$132K,4.0,Noblis,"Reston, VA",1001 - 5000 ,Nonprofit Organization,Consulting,$100 to $500 million 
Data Scientist,$99K-$132K,3.6,Spring Health,"New York, NY",1 - 50 ,Company - Private,Health Care Services & Hospitals,Unknown 
Software Engineer - Data Science,$99K-$132K,4.0,ClearEdge,"Annapolis Junction, MD",51 - 200 ,Company - Private,Computer Hardware & Software,$5 to $10 million 
Data Analyst/Engineer,$99K-$132K,3.2,AllianceBernstein,"Nashville, TN",1001 - 5000 ,Company - Public,Investment Banking & Asset Management,$2 to $5 billion 
NGS Scientist,$99K-$132K,5.0,Arsenal Biosciences,"South San Francisco, CA",51 - 200 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Engineer,$99K-$132K,4.8,GetWellNetwork,"Bethesda, MD",201 - 500 ,Company - Private,Health Care Services & Hospitals,$50 to $100 million 
Data Scientist,$99K-$132K,4.5,TACG Solutions,"Dayton, OH",51 - 200 ,Company - Private,Consulting,Unknown 
Senior Data Engineer,$99K-$132K,4.7,Scoop,"San Francisco, CA",51 - 200 ,Company - Private,Internet,Unknown 
Senior Data Scientist,$99K-$132K,4.5,Novetta,"Herndon, VA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Data Engineer,$99K-$132K,4.2,IZEA,"Winter Park, FL",51 - 200 ,Company - Public,Advertising & Marketing,$25 to $50 million 
Business Intelligence Analyst,$99K-$132K,3.4,Montway Inc,"Schaumburg, IL",51 - 200 ,Company - Private,Shipping,Unknown 
Sr. ML/Data Scientist - AI/NLP/Chatbot,$99K-$132K,3.8,Juniper Networks,"Cupertino, CA",5001 - 10000 ,Company - Public,Telecommunications Services,$2 to $5 billion 
Data Scientist,$90K-$109K,4.7,1904labs,"Saint Louis, MO",51 - 200 ,Company - Private,IT Services,Unknown 
Data Scientist,$90K-$109K,3.6,XSELL Technologies,"Chicago, IL",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Engineer,$90K-$109K,4.2,IZEA,"Winter Park, FL",51 - 200 ,Company - Public,Advertising & Marketing,$25 to $50 million 
Sr. ML/Data Scientist - AI/NLP/Chatbot,$90K-$109K,3.8,Juniper Networks,"Cupertino, CA",5001 - 10000 ,Company - Public,Telecommunications Services,$2 to $5 billion 
Data Scientist,$90K-$109K,5.0,Notion Labs,"San Francisco, CA",1 - 50 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Senior Data Engineer,$90K-$109K,4.9,Lendio,"Lehi, UT",201 - 500 ,Company - Private,Lending,$50 to $100 million 
Data Engineer,$90K-$109K,4.4,Direct Agents,"Culver City, CA",51 - 200 ,Company - Private,Advertising & Marketing,$25 to $50 million 
